,feature1,feature2,sim.score,z.stat,p.value,q.value
68,k__Archaea;p__Euryarchaeota,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
69,k__Archaea;p__Euryarchaeota,k__Bacteria;p__TG3,NA,NA,NA,NA
70,k__Archaea;p__Euryarchaeota,k__Bacteria;p__TM7,NA,NA,NA,NA
71,k__Archaea;p__Euryarchaeota,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
72,k__Archaea;p__Euryarchaeota,k__Bacteria;p__Thermi,NA,NA,NA,NA
73,k__Archaea;p__Euryarchaeota,k__Bacteria;p__Verrucomicrobia,NA,NA,NA,NA
74,k__Archaea;p__Euryarchaeota,k__Bacteria;p__WPS-2,NA,NA,NA,NA
75,k__Archaea;p__Euryarchaeota,k__Bacteria;p__WS3,NA,NA,NA,NA
76,k__Bacteria;p__AD3,k__Bacteria;p__Acidobacteria,NA,NA,NA,NA
77,k__Bacteria;p__AD3,k__Bacteria;p__Actinobacteria,NA,NA,NA,NA
78,k__Bacteria;p__AD3,k__Bacteria;p__BRC1,NA,NA,NA,NA
79,k__Bacteria;p__AD3,k__Bacteria;p__Bacteroidetes,NA,NA,NA,NA
80,k__Bacteria;p__AD3,k__Bacteria;p__CCM11b,NA,NA,NA,NA
81,k__Bacteria;p__AD3,k__Bacteria;p__Chlamydiae,NA,NA,NA,NA
82,k__Bacteria;p__AD3,k__Bacteria;p__Chlorobi,NA,NA,NA,NA
83,k__Bacteria;p__AD3,k__Bacteria;p__Chloroflexi,NA,NA,NA,NA
84,k__Bacteria;p__AD3,k__Bacteria;p__Cyanobacteria,NA,NA,NA,NA
85,k__Bacteria;p__AD3,k__Bacteria;p__Elusimicrobia,NA,NA,NA,NA
86,k__Bacteria;p__AD3,k__Bacteria;p__Firmicutes,NA,NA,NA,NA
87,k__Bacteria;p__AD3,k__Bacteria;p__Fusobacteria,NA,NA,NA,NA
88,k__Bacteria;p__AD3,k__Bacteria;p__Gemmatimonadetes,NA,NA,NA,NA
89,k__Bacteria;p__AD3,k__Bacteria;p__Marine group A,NA,NA,NA,NA
90,k__Bacteria;p__AD3,k__Bacteria;p__NKB19,NA,NA,NA,NA
91,k__Bacteria;p__AD3,k__Bacteria;p__Nitrospirae,NA,NA,NA,NA
92,k__Bacteria;p__AD3,k__Bacteria;p__OP10,NA,NA,NA,NA
93,k__Bacteria;p__AD3,k__Bacteria;p__OP11,NA,NA,NA,NA
94,k__Bacteria;p__AD3,k__Bacteria;p__OP3,NA,NA,NA,NA
95,k__Bacteria;p__AD3,k__Bacteria;p__Planctomycetes,NA,NA,NA,NA
96,k__Bacteria;p__AD3,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,NA,NA,NA,NA
97,k__Bacteria;p__AD3,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,NA,NA,NA,NA
98,k__Bacteria;p__AD3,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,NA,NA,NA,NA
99,k__Bacteria;p__AD3,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,NA,NA,NA,NA
100,k__Bacteria;p__AD3,k__Bacteria;p__SC3,NA,NA,NA,NA
101,k__Bacteria;p__AD3,k__Bacteria;p__SC4,NA,NA,NA,NA
102,k__Bacteria;p__AD3,k__Bacteria;p__SM2F11,NA,NA,NA,NA
103,k__Bacteria;p__AD3,k__Bacteria;p__SPAM,NA,NA,NA,NA
104,k__Bacteria;p__AD3,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
105,k__Bacteria;p__AD3,k__Bacteria;p__TG3,NA,NA,NA,NA
106,k__Bacteria;p__AD3,k__Bacteria;p__TM7,NA,NA,NA,NA
107,k__Bacteria;p__AD3,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
108,k__Bacteria;p__AD3,k__Bacteria;p__Thermi,NA,NA,NA,NA
109,k__Bacteria;p__AD3,k__Bacteria;p__Verrucomicrobia,NA,NA,NA,NA
110,k__Bacteria;p__AD3,k__Bacteria;p__WPS-2,NA,NA,NA,NA
111,k__Bacteria;p__AD3,k__Bacteria;p__WS3,NA,NA,NA,NA
112,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Actinobacteria,0.373517787,1.571206133,0.116134776,1.161795013
113,k__Bacteria;p__Acidobacteria,k__Bacteria;p__BRC1,0.805351652,4.871997404,1.10E-06,0.000102414
114,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Bacteroidetes,-0.457509881,-2.380371966,0.01729517,0.240495447
115,k__Bacteria;p__Acidobacteria,k__Bacteria;p__CCM11b,NA,NA,NA,NA
116,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Chlamydiae,0.520513763,2.582382404,0.00981208,0.14671014
117,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Chlorobi,0.820518804,5.048457542,4.45E-07,5.63E-05
118,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Chloroflexi,0.89229249,5.386394103,7.19E-08,1.67E-05
119,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Cyanobacteria,0.169960474,0.664343768,0.506470314,3.706657134
120,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Elusimicrobia,NA,NA,NA,NA
121,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Firmicutes,0.659090909,3.355557432,0.000792052,0.016438454
122,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Fusobacteria,NA,NA,NA,NA
123,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Gemmatimonadetes,0.906126482,5.508046603,3.63E-08,1.26E-05
124,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Marine group A,0.024526055,0.068148128,0.945667719,5.818514842
125,k__Bacteria;p__Acidobacteria,k__Bacteria;p__NKB19,NA,NA,NA,NA
126,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Nitrospirae,0.713226556,3.783219469,0.000154813,0.004221032
127,k__Bacteria;p__Acidobacteria,k__Bacteria;p__OP10,0.318668631,1.593337173,0.111084572,1.135786907
128,k__Bacteria;p__Acidobacteria,k__Bacteria;p__OP11,NA,NA,NA,NA
129,k__Bacteria;p__Acidobacteria,k__Bacteria;p__OP3,NA,NA,NA,NA
130,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Planctomycetes,0.767786561,4.596134489,4.30E-06,0.00027204
131,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,-0.090909091,-0.356600784,0.72139069,4.799613527
132,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,-0.585968379,-2.774185901,0.005534004,0.088450904
133,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,0.859683794,5.278765146,1.30E-07,2.58E-05
134,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,-0.419960474,-1.894802358,0.058118591,0.673466271
135,k__Bacteria;p__Acidobacteria,k__Bacteria;p__SC3,NA,NA,NA,NA
136,k__Bacteria;p__Acidobacteria,k__Bacteria;p__SC4,NA,NA,NA,NA
137,k__Bacteria;p__Acidobacteria,k__Bacteria;p__SM2F11,NA,NA,NA,NA
138,k__Bacteria;p__Acidobacteria,k__Bacteria;p__SPAM,NA,NA,NA,NA
139,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
140,k__Bacteria;p__Acidobacteria,k__Bacteria;p__TG3,NA,NA,NA,NA
141,k__Bacteria;p__Acidobacteria,k__Bacteria;p__TM7,NA,NA,NA,NA
142,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
143,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Thermi,0.53997998,2.843114158,0.004467507,0.073955067
144,k__Bacteria;p__Acidobacteria,k__Bacteria;p__Verrucomicrobia,0.910079051,5.710437986,1.13E-08,7.83E-06
145,k__Bacteria;p__Acidobacteria,k__Bacteria;p__WPS-2,0.665035397,3.68369786,0.000229875,0.005607875
146,k__Bacteria;p__Acidobacteria,k__Bacteria;p__WS3,NA,NA,NA,NA
147,k__Bacteria;p__Actinobacteria,k__Bacteria;p__BRC1,0.461616076,2.087272775,0.036863484,0.46180159
148,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Bacteroidetes,-0.374505929,-1.815018735,0.06952103,0.773371581
149,k__Bacteria;p__Actinobacteria,k__Bacteria;p__CCM11b,NA,NA,NA,NA
150,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Chlamydiae,-0.02207536,-0.301476217,0.763051383,4.98145489
151,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Chlorobi,0.166940661,0.894884973,0.370848581,2.94673169
152,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Chloroflexi,0.40513834,1.967411524,0.049135787,0.589009022
153,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Cyanobacteria,0.232213439,0.958087789,0.338018492,2.732713075
154,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Elusimicrobia,NA,NA,NA,NA
155,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Firmicutes,0.661067194,3.316833878,0.000910437,0.018617577
156,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Fusobacteria,NA,NA,NA,NA
157,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Gemmatimonadetes,0.484189723,2.358347916,0.01835648,0.250248365
158,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Marine group A,-0.224466718,-1.131158768,0.257988273,2.228209957
159,k__Bacteria;p__Actinobacteria,k__Bacteria;p__NKB19,NA,NA,NA,NA
160,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Nitrospirae,0.447252486,1.971938424,0.048616636,0.587853473
161,k__Bacteria;p__Actinobacteria,k__Bacteria;p__OP10,0.073153491,0.412446097,0.680012482,4.63520278
162,k__Bacteria;p__Actinobacteria,k__Bacteria;p__OP11,NA,NA,NA,NA
163,k__Bacteria;p__Actinobacteria,k__Bacteria;p__OP3,NA,NA,NA,NA
164,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Planctomycetes,0.467391304,2.236062884,0.025347652,0.329409397
165,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,-0.053359684,-0.217478621,0.827835367,5.280432605
166,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,-0.789525692,-4.484229737,7.32E-06,0.00039137
167,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,0.387351779,1.959720959,0.050028414,0.594583557
168,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,-0.565217391,-2.870762303,0.004094833,0.06860253
169,k__Bacteria;p__Actinobacteria,k__Bacteria;p__SC3,NA,NA,NA,NA
170,k__Bacteria;p__Actinobacteria,k__Bacteria;p__SC4,NA,NA,NA,NA
171,k__Bacteria;p__Actinobacteria,k__Bacteria;p__SM2F11,NA,NA,NA,NA
172,k__Bacteria;p__Actinobacteria,k__Bacteria;p__SPAM,NA,NA,NA,NA
173,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
174,k__Bacteria;p__Actinobacteria,k__Bacteria;p__TG3,NA,NA,NA,NA
175,k__Bacteria;p__Actinobacteria,k__Bacteria;p__TM7,NA,NA,NA,NA
176,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
177,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Thermi,0.049960765,0.401865521,0.687782999,4.665300222
178,k__Bacteria;p__Actinobacteria,k__Bacteria;p__Verrucomicrobia,0.404150198,1.766185521,0.077364729,0.84707392
179,k__Bacteria;p__Actinobacteria,k__Bacteria;p__WPS-2,0.107746045,0.471512793,0.637274586,4.430764072
180,k__Bacteria;p__Actinobacteria,k__Bacteria;p__WS3,NA,NA,NA,NA
181,k__Bacteria;p__BRC1,k__Bacteria;p__Bacteroidetes,-0.543835249,-2.688940724,0.007167915,0.111991442
182,k__Bacteria;p__BRC1,k__Bacteria;p__CCM11b,NA,NA,NA,NA
183,k__Bacteria;p__BRC1,k__Bacteria;p__Chlamydiae,0.570723564,3.002811408,0.002674981,0.048307222
184,k__Bacteria;p__BRC1,k__Bacteria;p__Chlorobi,0.625665557,3.285408143,0.001018347,0.019944338
185,k__Bacteria;p__BRC1,k__Bacteria;p__Chloroflexi,0.719665406,3.795289267,0.000147471,0.004101284
186,k__Bacteria;p__BRC1,k__Bacteria;p__Cyanobacteria,-0.009410628,-0.211391725,0.832581614,5.286457224
187,k__Bacteria;p__BRC1,k__Bacteria;p__Elusimicrobia,NA,NA,NA,NA
188,k__Bacteria;p__BRC1,k__Bacteria;p__Firmicutes,0.706292409,3.774115643,0.000160576,0.00429398
189,k__Bacteria;p__BRC1,k__Bacteria;p__Fusobacteria,NA,NA,NA,NA
190,k__Bacteria;p__BRC1,k__Bacteria;p__Gemmatimonadetes,0.784053915,4.623149385,3.78E-06,0.000250268
191,k__Bacteria;p__BRC1,k__Bacteria;p__Marine group A,0.051578973,0.092171567,0.926561728,5.751860712
192,k__Bacteria;p__BRC1,k__Bacteria;p__NKB19,NA,NA,NA,NA
193,k__Bacteria;p__BRC1,k__Bacteria;p__Nitrospirae,0.698857994,3.929148469,8.52E-05,0.002634205
194,k__Bacteria;p__BRC1,k__Bacteria;p__OP10,0.241603263,0.964919706,0.334585031,2.720773679
195,k__Bacteria;p__BRC1,k__Bacteria;p__OP11,NA,NA,NA,NA
196,k__Bacteria;p__BRC1,k__Bacteria;p__OP3,NA,NA,NA,NA
197,k__Bacteria;p__BRC1,k__Bacteria;p__Planctomycetes,0.751364364,4.372798862,1.23E-05,0.000588166
198,k__Bacteria;p__BRC1,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,-0.111936946,-0.531011481,0.595410823,4.181514007
199,k__Bacteria;p__BRC1,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,-0.62357794,-3.087103029,0.002021175,0.037979941
200,k__Bacteria;p__BRC1,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,0.739972551,3.987477946,6.68E-05,0.002264857
201,k__Bacteria;p__BRC1,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,-0.418030009,-1.875167882,0.060769631,0.698366264
202,k__Bacteria;p__BRC1,k__Bacteria;p__SC3,NA,NA,NA,NA
203,k__Bacteria;p__BRC1,k__Bacteria;p__SC4,NA,NA,NA,NA
204,k__Bacteria;p__BRC1,k__Bacteria;p__SM2F11,NA,NA,NA,NA
205,k__Bacteria;p__BRC1,k__Bacteria;p__SPAM,NA,NA,NA,NA
206,k__Bacteria;p__BRC1,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
207,k__Bacteria;p__BRC1,k__Bacteria;p__TG3,NA,NA,NA,NA
208,k__Bacteria;p__BRC1,k__Bacteria;p__TM7,NA,NA,NA,NA
209,k__Bacteria;p__BRC1,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
210,k__Bacteria;p__BRC1,k__Bacteria;p__Thermi,0.297219482,1.420368796,0.155500342,1.45119944
211,k__Bacteria;p__BRC1,k__Bacteria;p__Verrucomicrobia,0.794950432,4.502597937,6.71E-06,0.000373374
212,k__Bacteria;p__BRC1,k__Bacteria;p__WPS-2,0.517326409,2.751750723,0.005927762,0.093667761
213,k__Bacteria;p__BRC1,k__Bacteria;p__WS3,NA,NA,NA,NA
214,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__CCM11b,NA,NA,NA,NA
215,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Chlamydiae,-0.18357405,-0.831110947,0.405910956,3.170974817
216,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Chlorobi,-0.336063553,-1.574297207,0.115418755,1.171487989
217,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Chloroflexi,-0.519762846,-2.625999896,0.008639484,0.132016572
218,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Cyanobacteria,0.274703557,1.266684381,0.205268167,1.829696373
219,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Elusimicrobia,NA,NA,NA,NA
220,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Firmicutes,-0.699604743,-3.946270063,7.94E-05,0.002628048
221,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Fusobacteria,NA,NA,NA,NA
222,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Gemmatimonadetes,-0.472332016,-2.403271923,0.0162491,0.228231786
223,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Marine group A,0.360959543,1.72655363,0.08424786,0.908136619
224,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__NKB19,NA,NA,NA,NA
225,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Nitrospirae,-0.604261387,-3.081439277,0.002060025,0.038193831
226,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__OP10,-0.35274012,-1.443516753,0.148874957,1.398755974
227,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__OP11,NA,NA,NA,NA
228,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__OP3,NA,NA,NA,NA
229,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Planctomycetes,-0.716403162,-4.196021158,2.72E-05,0.001049255
230,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Proteobacteria;c__Alphaproteobacteria,0.398221344,1.692897816,0.090474919,0.967758229
231,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Proteobacteria;c__Betaproteobacteria,0.639328063,3.472580347,0.000515481,0.011750723
232,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Proteobacteria;c__Deltaproteobacteria,-0.653162055,-3.450705085,0.000559124,0.012340983
233,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Proteobacteria;c__Gammaproteobacteria,0.171936759,0.88913499,0.373930536,2.954338717
234,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__SC3,NA,NA,NA,NA
235,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__SC4,NA,NA,NA,NA
236,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__SM2F11,NA,NA,NA,NA
237,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__SPAM,NA,NA,NA,NA
238,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Spirochaetes,NA,NA,NA,NA
239,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__TG3,NA,NA,NA,NA
240,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__TM7,NA,NA,NA,NA
241,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Tenericutes,NA,NA,NA,NA
242,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Thermi,-0.582370932,-2.899428981,0.00373843,0.064178016
243,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__Verrucomicrobia,-0.466403162,-2.346482203,0.018951571,0.255852709
244,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__WPS-2,-0.456245214,-2.201042648,0.027733005,0.357071504
245,k__Bacteria;p__Bacteroidetes,k__Bacteria;p__WS3,NA,NA,NA,NA
246,k__Bacteria;p__CCM11b,k__Bacteria;p__Chlamydiae,NA,NA,NA,NA
247,k__Bacteria;p__CCM11b,k__Bacteria;p__Chlorobi,NA,NA,NA,NA
248,k__Bacteria;p__CCM11b,k__Bacteria;p__Chloroflexi,NA,NA,NA,NA
249,k__Bacteria;p__CCM11b,k__Bacteria;p__Cyanobacteria,NA,NA,NA,NA
250,k__Bacteria;p__CCM11b,k__Bacteria;p__Elusimicrobia,NA,NA,NA,NA
251,k__Bacteria;p__CCM11b,k__Bacteria;p__Firmicutes,NA,NA,NA,NA
252,k__Bacteria;p__CCM11b,k__Bacteria;p__Fusobacteria,NA,NA,NA,NA
253,k__Bacteria;p__CCM11b,k__Bacteria;p__Gemmatimonadetes,NA,NA,NA,NA
254,k__Bacteria;p__CCM11b,k__Bacteria;p__Marine group A,NA,NA,NA,NA
255,k__Bacteria;p__CCM11b,k__Bacteria;p__NKB19,NA,NA,NA,NA
256,k__Bacteria;p__CCM11b,k__Bacteria;p__Nitrospirae,NA,NA,NA,NA
257,k__Bacteria;p__CCM11b,k__Bacteria;p__OP10,NA,NA,NA,NA
258,k__Bacteria;p__CCM11b,k__Bacteria;p__OP11,NA,NA,NA,NA
